,Borough,Neighborhoods,0,1
0,West,Frederik Hendrikbuurt,52.3769557,4.8740847512
1,West,Houthaven,52.39337645,4.8816802405
2,West,Spaarndammerbuurt,52.3896626,4.8793689261
3,West,Staatsliedenbuurt,52.3802865,4.8709506942
5,West,Zeeheldenbuurt,52.38932985,4.8882422278
6,West,Westerpark,52.38723635,4.8717773284
7,West,Kinkerbuurt,52.3691672,4.8666494349
8,West,Overtoombuurt,52.3635179,4.8673158
9,West,De Baarsjes,52.3666467,4.8371359
13,West,Bos en Lommer,52.3785206,4.8487385
14,West,Kolenkitbuurt,52.3796239,4.8414043
15,West,Landlust,52.379851,4.8586084663
16,West,Sloterdijk,52.3871325,4.8465234
17,Centrum (Centre),Binnenstad,52.3731283,4.8880802
18,Centrum (Centre),Grachtengordel,52.370837,4.8854781906
19,Centrum (Centre),Haarlemmerbuurt,52.3824413,4.8871930849
20,Centrum (Centre),Jodenbuurt,52.3688696,4.9002234
21,Centrum (Centre),Jordaan,52.3754157,4.8810958
22,Centrum (Centre),Kadijken,52.3677527,4.9195433953
23,Centrum (Centre),Lastage,52.37125045,4.9055077176
24,Centrum (Centre),Oosterdokseiland,52.37659135,4.907560405
25,Centrum (Centre),Oostelijke Eilanden,52.371869,4.9228753492
26,Centrum (Centre),Plantage,52.3667411,4.9100997
27,Centrum (Centre),Rapenburg,52.3711587,4.9071618
28,Centrum (Centre),Uilenburg,52.3706669,4.9052582316
29,Centrum (Centre),Westelijke Eilanden,52.3837971,4.8817172
30,Centrum (Centre),Weteringschans,52.3607227,4.887778
31,Zuid (South),Apollobuurt,52.3481007,4.8670397
32,Zuid (South),Buitenveldert,52.3286468,4.8735234
33,Zuid (South),Hoofddorppleinbuurt,52.3491015,4.8186271
34,Zuid (South),Museumkwartier,52.3511829,4.8612503
35,Zuid (South),De Pijp,52.3542396,4.8969461711
36,Zuid (South),Prinses Irenebuurt,52.3416073,4.860082
37,Zuid (South),Rivierenbuurt,52.34404,4.9036533
38,Zuid (South),Schinkelbuurt,52.35260635,4.8545909852
39,Zuid (South),Stadionbuurt,52.3465311,4.8620658264
40,Zuid (South),Vondelpark,52.3578866,4.8671166596
41,Zuid (South),Willemspark,52.3542287,4.8539634
42,Zuid (South),Zuidas,52.3377797,4.8734447
43,Oost (East),IJburg,52.3549938,4.9971565
44,Oost (East),Indische Buurt,52.36199475,4.9389694097
45,Oost (East),Eastern Docklands,52.3746617,4.9442098558
46,Oost (East),Oud-Oost,52.3600574,4.9164881
47,Oost (East),Watergraafsmeer,52.349809,4.9382992
48,Nieuw-West(New West),Geuzenveld,52.3783939,4.8016275
49,Nieuw-West(New West),Nieuw Sloten,52.3518782,4.815254
50,Nieuw-West(New West),Oostoever,52.3673227,4.8260711
51,Nieuw-West(New West),Osdorp,52.3566186,4.799164
53,Nieuw-West(New West),Overtoomse Veld,52.3641934,4.8379711
54,Nieuw-West(New West),Sloten,52.3417672,4.7977487
55,Nieuw-West(New West),Slotermeer,52.3779612,4.821952
56,Nieuw-West(New West),Slotervaart,52.3612861,4.827466
57,Zuidoost(Southeast),Bijlmermeer,52.3170328,4.9649907
58,Zuidoost(Southeast),Venserpolder,52.3267669,4.9463398
59,Zuidoost(Southeast),Gaasperdam,52.30621725,4.9716799426
60,Zuidoost(Southeast),Driemond,52.3054047,5.0165495
61,Noord (North),Banne Buiksloot,52.40850545,4.9188430825
62,Noord (North),Buiksloot,52.4062937,4.9091934
63,Noord (North),Buikslotermeer,52.39943875,4.9431351355
64,Noord (North),Floradorp,52.39853155,4.9148316482
65,Noord (North),Kadoelen,52.4164471,4.8993036313
66,Noord (North),Molenwijk,52.4220096,4.8622223
67,Noord (North),Nieuwendam,52.3943458,4.9347375
68,Noord (North),Nieuwendammerdijk en Buiksloterdijk,52.3925337,4.9279703
69,Noord (North),Oostzanerwerf,52.41948675,4.8895081369
70,Noord (North),Overhoeks,52.38688415,4.9029761204
71,Noord (North),Tuindorp Nieuwendam,52.3905497,4.9355104
72,Noord (North),Tuindorp Oostzaan,52.41279645,4.888052364
73,Westpoort(West Gateway),Westpoort,52.4114676,4.8005734667
